文件名,索引号,主题分类,发文机关,成文日期,发布日期,发文字号,标题,来源,公文种类,内容
国资委明确新一轮国企改革深化提升行动三方面重点.docx,,,,,2023-02-24,,,新华社字号：默认,,国资委明确新一轮国企改革深化提升行动三方面重点 2023-02-24 08:23 来源： 新华社字号：默认 大 超大|打印| 新华社北京2月23日电（记者 王希）新一轮国企改革深化提升行动将坚持和加强党的全面领导，坚持社会主义基本经济制度，坚持社会主义市场经济改革方向，聚焦提高国有企业核心竞争力和增强核心功能，重点抓好三方面工作。 这是记者从国新办23日举行的“权威部门话开局”系列主题新闻发布会上了解到的信息。 “新时代10年来，国资央企持续深化国资国企改革，坚持社会主义市场经济改革方向，深入实施国企改革三年行动，建立和完善中国特色现代企业制度，全面完成了公司制改制、剥离办社会职能和解决历史遗留问题，市场化经营机制改革取得重大突破，国有企业和市场经济更好地实现了融合，打造了一批现代新国企。”国务院国资委主任张玉卓在发布会上回答相关提问时表示。 据国资委副主任翁杰明介绍，新一轮国企改革深化提升行动，将主要抓好加快优化国有经济布局结构，增强服务国家战略的功能作用；加快完善中国特色国有企业现代公司治理，真正按市场化机制运营；加快健全有利于国有企业科技创新的体制机制，加快打造创新型国有企业等三个方面的工作。 统计显示，10年来，中央企业规模效益不断上台阶，资产总额从2012年的31.4万亿元增长到去年底的81万亿元，营业收入从22.3万亿元增长到39.6万亿元，利润总额从1.3万亿元增长到2.6万亿元；2022年企业全员劳动生产率增至76.3万元/人，10年来增长84.2%；累计上缴税费约占全国税收收入的七分之一，向社保基金划转国有资本1.21万亿元。
图表：国企改革三年行动，带来哪些改变？.docx,,,,,2023-02-01,,,新华社字号：默认,,图表：国企改革三年行动，带来哪些改变？ 2023-02-01 11:56 来源： 新华社字号：默认 大 超大|打印| 根据1月31日召开的全国国有企业改革三年行动总结电视电话会议，国企改革三年行动主要目标任务已经完成。 新华社发 王威 制图
地方国企主体任务进展逾九成——国企改革三年行动冲刺收官.docx,,,,,2022-05-08,,,经济日报字号：默认,,地方国企主体任务进展逾九成——国企改革三年行动冲刺收官 2022-05-08 07:55 来源： 经济日报字号：默认 大 超大|打印| 经过近两年的持续攻坚，地方国企改革三年行动取得决定性进展，主体任务完成进度超过90%。 国务院国有企业改革领导小组办公室主任、国务院国资委主任郝鹏在5月7日举行的“地方国企改革三年行动推进会”上表示，国企改革三年行动已整体进入全面收官的关键阶段。接下来，将锚定“三个明显成效”的目标，奋力夺取国企改革三年行动全面胜利。 改革取得决定性进展 三年行动实施以来，各地国企改革领导小组按照“可衡量、可考核、可检验、要办事”的工作要求，以空前力度推动国企改革全面发力、多点突破，成为全面深化改革的一大亮点。 比如，安徽积极布局战略性新兴产业，先后投资一批“独角兽”“瞪羚”企业，通过重组整合有力助推国有经济布局结构调整。福建大力推动国家数字经济创新发展试验区建设，组建福建省大数据公司，推动数字经济快速发展，打响数字福建品牌。 “高标准实施国企改革三年行动要坚持一贯到底，确保落地见效。”山东省国资委主任张斌表示，山东省建立工作闭环，压实改革任务，逐项任务均明确工作措施、责任人和完成时限，层层立下“军令状”。同时，实施全过程督促、穿透式核查。截至目前，山东省各省属企业和各市三年行动整体任务平均完成进度超过90%。 地方国企改革扎实推进，解决了一批长期想解决而没有解决的问题，公司制改革基本完成，剥离企业办社会职能和解决历史遗留问题全面扫尾，完善中国特色现代企业制度、健全市场化经营机制等改革重点领域取得实质性突破。 数据显示，地方一级企业及重要子企业全面完成党组织前置研究事项清单制定工作，一级企业及各级子企业基本实现董事会应建尽建，已建董事会企业90%以上实现外部董事占多数；省级国资委监管企业各级子企业经理层签约率达到95%，已开展中长期激励的子企业占具备条件的企业比例超过80%；全国省一级的经营性国有资产集中统一监管比例达到98%。 经营业绩是衡量企业改革发展成果的试金石。2021年，地方监管企业资产总额达到183.7万亿元，营业收入和净利润分别达到35.4万亿元、1.5万亿元，同比分别增长19%、27.4%，经济效益创历史最高水平。 “总的看，三年行动形成了一批理论、实践和制度成果，有力促进了国资国企高质量发展，切实提升了广大职工改革获得感，形成了坚决深化改革、大力支持改革、积极参与改革的良好氛围。”郝鹏表示。 改革释红利添后劲 在推进三年行动中，地方国企先进典型不断涌现，形成了很多好经验好做法，发挥了以点带面、示范引领作用。 “去掉行政身份兜底，所有人直面市场、背水一战、凭业绩说话。”河南资产管理有限公司董事长成冬梅表示，打破“铁饭碗”，董事长也辞去省管干部身份，真正市场化选聘、契约化管理，有力推动企业全员攻坚、全员创效。2021年，河南资产管理有限公司人均管理资产8亿元，人均创造利税1500万元，处于行业领先水平。 作为连续9年入选《财富》世界500强的大企业，广汽集团在完善公司治理机制上持续发力，厘清各治理主体权责，建强建优董事会，深入推进职业经理人改革，厚植高质量发展新优势。 “打造卓越董事会，锻造公司治理决策主体。”广汽集团董事长曾庆洪表示，广汽集团入选“双百企业”后，进一步推动董事会来源多元、结构合理、有效制衡、高效运作。企业还强化董事履职保障，全面落实董事会职权。 治理效能提升，发展后劲更足。今年一季度，广汽集团实现利润总额106亿元，同比增长37%；新能源自主品牌广汽埃安销量达4.5万辆，同比增长155%。 确保实现“三个明显成效” 决战决胜国企改革三年行动已进入关键阶段。郝鹏表示，要以更高标准、更高质量全面完成国企改革三年行动任务，在落地见效上下功夫，确保取得“三个明显成效”。 具体来说，要确保在形成更加成熟更加定型的中国特色现代企业制度和国资监管体制上取得明显成效，确保在推动国有经济布局优化和结构调整上取得明显成效，确保在提高国有企业活力和效率上取得明显成效。 目前，国有企业普遍构建起中国特色现代企业制度的整体框架，但在落地见效上还有差距。按照部署，国资国企系统要进一步推动在完善公司治理中加强党的领导组织化、制度化、具体化，加快完善并落实党委前置研究清单，明确研究事项分类标准，真正厘清党委会和董事会、经理层等其他治理主体的职责边界。进一步推动董事会配齐建强高效运转，科学落实外部董事占多数要求，加大外部董事管理监督，加快落实重要子企业董事会职权。 构建新发展格局，需要进一步推动国有经济布局优化和结构调整，更好发挥国有经济战略支撑作用。当前，一些地方企业仍存在盲目扩张冲动，热衷铺摊子上项目，走粗放增长的路子。国资国企系统要突出主责主业，推进国有资本有进有退，提升产业链供应链韧性和竞争力，有力有效防范化解重大风险。要围绕促进高水平科技自立自强，以体制机制改革促进企业科技创新，推动国有企业打造原创技术策源地，加快提升企业自主创新能力。 “活力不足、效率不高”是国企老大难问题，也是三年行动要解决的突出问题。下一步，要加快健全灵活高效的市场化经营机制，在各层级企业全面深入实施三项制度改革，构建更加系统集成、精准有效的正向激励体系。要加快推动混改企业深度转换经营机制，指导混改企业进一步完善法人治理结构，加强混改全过程监督。要加快构建国有企业公平参与市场竞争的制度机制，进一步深化政企分开，让国有企业更深融入市场经济。(记者 周雷)
地方国企改革三年行动主体任务完成超过90%.docx,,,,,2022-05-07,,,新华社字号：默认,,地方国企改革三年行动主体任务完成超过90% 2022-05-07 19:12 来源： 新华社字号：默认 大 超大|打印| 新华社北京5月7日电（记者 王希）国务院国有企业改革领导小组办公室主任、国务院国资委主任郝鹏7日说，通过持续攻坚，地方国企改革三年行动取得决定性进展，主体任务完成进度超过90%，整体进入决战决胜、全面收官的关键阶段。 他是在7日举行的“地方国企改革三年行动推进会”上作出上述表示的。 国企改革是全面深化改革的重要组成部分。2020年，国企改革三年行动（2020-2022年）正式启动。国资国企系统以实施三年行动为契机，吹响了新一轮改革的“冲锋号”，通过加快深化改革，让企业机制活起来，让布局结构优起来，让发展动力强起来。 郝鹏说，在推进国企改革三年行动中，各地坚持问题导向、目标导向、结果导向，解决了一批长期想解决而没有解决的问题，公司制改革基本完成，剥离企业办社会职能和解决历史遗留问题全面扫尾，完善中国特色现代企业制度、健全市场化经营机制等改革重点领域取得实质性突破。 据了解，目前地方一级企业及重要子企业全面完成党组织前置研究事项清单制定工作，一级企业及各级子企业基本实现董事会应建尽建；加快经理层任期制和契约化管理，省级国资委监管企业各级子企业经理层签约率达到95%；全国省一级的经营性国有资产集中统一监管比例达到98%。 根据相关安排，国企改革三年行动主体任务将在今年上半年完成，各项任务将在党的二十大召开之前基本完成，今年年底前实现全面高质量收官。 郝鹏表示，下一步国资国企系统要保持战略定力，敢于较真碰硬，强化全面收官，突出抓好改革的质量效果，突出抓好改革成果的制度化长效化，突出抓好典型经验的复制推广。 近年来，改革向纵深推进为地方国企高质量发展注入了强劲动能。来自此次会议的信息显示，2021年，地方国资委监管企业资产总额达到183.7万亿元，营业收入和净利润分别达到35.4万亿元、1.5万亿元，同比分别增长19%、27.4%。
大湾区谋划新发展——国家发展改革委与美在华跨国企业高层圆桌会举办.docx,,,,,2023-04-21,,,新华社字号：默认,,大湾区谋划新发展——国家发展改革委与美在华跨国企业高层圆桌会举办 2023-04-21 08:00 来源： 新华社字号：默认 大 超大|打印| 新华社广州4月20日电 题：大湾区谋划新发展——国家发展改革委与美在华跨国企业高层圆桌会举办 新华社记者 魏弘毅 “中国对于粤港澳大湾区建设有何进一步规划？”“在‘双碳’战略指引下，中国在塑料污染治理方面有哪些考虑？”“广州市关于生物质能、燃气分布式能源相关项目有何布局？”……这些提问，来自一场圆桌会上的美国在华商会与企业代表。 4月19日下午，“国家发展改革委与美在华跨国企业高层圆桌会——粤港澳大湾区站”活动在广州市南沙区举办。会议以“融入大湾区 共谋新发展”为主题，来自54家美在华商会、企业的70多位代表参会。 会上，国家发展改革委副主任李春临表示，希望本次圆桌会积极促进中美工商界交流，欢迎包括美资企业在内的跨国企业到粤港澳大湾区投资，在科技创新、绿色能源、生态环保、海洋经济、生物医药等领域开展更多务实合作，并以大湾区为起点，深耕在华市场，实现互利共赢，共创共享美好未来。 在交流互动环节中，围绕推动更高水平对外开放、推动粤港澳大湾区建设等议题，美国商会、企业代表各自分享观点，提出建议。 “我们乐见中国保持开放不动摇，建议中国进一步扩大市场准入。”中国美国商会总裁何迈可表示，商会至少60%的美国企业愿在中国扩大开放的基础上追加更多投资。 “中国的加工制造能力一直在提升，很多方面已经全球领先。在此基础上我们希望能和中国的大型投资公司深化合作，从而参与第三国以及‘一带一路’国家的项目建设。”贝克休斯公司全球副总裁、中国区总裁曹阳说。 “期待各级政府继续推进高水平的对外开放。”霍尼韦尔中国总裁余锋建议，“希望搭建外资企业和国有企业合作的平台，吸引更多的全球人才和企业参与中国的经济发展”…… 接下来，针对跨国企业代表关心的议题，与会相关负责同志一一回应—— 国家发展改革委地区司副司长黄微波介绍，“我们在粤港澳大湾区的工作主要有三方面，一是以科技创新推动产业高质量发展，二是以改革开放推动市场一体化，三是以民生改善打造粤港澳优质生活圈。” 针对国家的“双碳”战略，国家发展改革委国际司副司长高健表示，“朝着碳达峰、碳中和前进的路径，一是尽可能地将能源使用电气化，二是努力做到发电无碳化。” 对于外资企业在广州投资兴业的建议，广州市工信局副局长黄星耀提示，“瞄准半导体、新能源汽车、新材料、商业航天、人工智能和大数据这些新兴产业，加强跟产业部门、行业机构的信息互通、项目互动，加大投资、加大合作力度”…… 沟通中见坦诚，坦诚中出实效。“无论是政府和企业之间，还是企业和企业之间，在这里都能实现充分的沟通，我们在现场交流过程中也得到了其他企业的合作邀请。”和睦家医疗集团新风天域执行董事萧毅晃直言，通过对相关政策的深入了解，公司在粤港澳大湾区投资的信心进一步增强。 “通过圆桌会，我感受到了中国各级政府对于外资企业的重视。下一步，我们要在充分了解国内优惠政策的基础上，以客户需求为导向，练好内功，把高科技企业的技术、管理优势发挥出来，以保持我们的竞争优势。”余锋说。 2021年以来，国家发展改革委建立与美在华商会和企业的常态化、机制化沟通渠道，先后举办了6场圆桌会，本次圆桌会是2023年的首站活动。
实现“三个明显成效”预期目标——国企改革三年行动高质量收官.docx,,,,,2023-02-05,,,经济日报字号：默认,,"实现“三个明显成效”预期目标——国企改革三年行动高质量收官 2023-02-05 07:59 来源： 经济日报字号：默认 大 超大|打印| “2022年，决战决胜国企改革三年行动实现高质量圆满收官。”国务院国资委党委书记、主任张玉卓近日表示，国企改革三年行动实现了“三个明显成效”预期目标：在形成更加成熟更加定型的中国特色现代企业制度和以管资本为主的国资监管体制上取得明显成效，在推动国有经济布局优化和结构调整上取得明显成效，在提高国有企业活力和效率上取得明显成效。 国企改革三年行动是2020年至2022年落实国有企业改革“1+N”政策体系和顶层设计的具体施工图，覆盖8万多家国有企业，掀起了国企改革新热潮。 改革力度大效果好 国企改革三年行动启动以来，按照“可衡量、可考核、可检验、要办事”的要求，国资国企压实责任，全力推动做好各项工作，以“系统性推进、清单化举措、定量化督办、穿透式操作、典型性推广”的机制，确保务期必成、扎实见效。 3年来，各方共同努力，有力推动国企党的领导与公司治理相统一，更加突出强调市场主体地位，三项制度改革更大范围落地见效，瘦身健体有序推进，中央企业存量法人户数大幅压减，“两非”“两资”清退任务基本完成，企业办社会和历史遗留问题全面解决，鼓励科技创新的体制机制不断完善，国资监管的专业化、体系化、法治化水平不断提高。 “通过三年行动，国有企业改革实现历史性突破，很多领域取得重大进展。”国务院国资委秘书长彭华岗介绍，公司制改革做了30多年，在三年行动中，要求不管剩下多少，必须解决，全面完成。 鞍钢集团曾长期受困于厂办大集体改革和退休人员社会化管理这一“老大难”问题，涉及职工37.8万人。2020年12月23日，鞍钢集团与辽宁省鞍山市政府正式签署《厂办大集体改革改制企业股权无偿划转协议》，标志着鞍钢厂办大集体改革职工安置、企业改革改制两大核心任务取得了决定性成效。改革让这家老国企轻装上阵，重焕青春。2022年前11个月，鞍钢集团销售利润率达到行业平均水平的1.8倍；位居《财富》世界500强第217位，比上年跃升183位，创历史最好排名。 从全国情况看，随着三年行动的推进，改革乘数效应不断放大，改革红利持续释放，有力推动了国企高质量发展。 2022年，面对三重压力和超预期因素冲击，中央企业迎难而上，较好实现稳增长目标。2022年，中央企业累计实现营业收入39.4万亿元，同比增长8.3%；实现利润总额2.55万亿元、净利润1.9万亿元，同比分别增长5.5%和5%；劳动生产率同比增长8.7%，研发投入经费同比增长9.8%。 “大国顶梁柱，关键时刻顶得住。”长期从事国企研究的专家刘兴国表示，2020年以来，新冠疫情持续蔓延，叠加其他不确定性因素，对企业和经济发展产生了显著不利影响。而改革有效对冲下行压力，国有企业稳中求进、提质增效，为推动经济社会发展、保障和改善民生、增强综合国力作出了重要贡献。 数据显示，2022年中央企业累计上缴税费2.8万亿元，同比增长19.3%，自2021年以来始终保持两位数增速，占全国一般公共预算收入的比重持续上升。 突出主线精准发力 三年行动突出制度建设主线，抓住激励、竞争、创新等基础性制度精准发力，着力把国企打造成有核心竞争力的市场主体。 加快完善中国特色现代企业制度，推进党的领导和公司治理有机融合，位列三年行动重点任务之首。国有企业公司制改制全面完成，从法律上、制度上进一步厘清了政府与企业的职责边界，企业独立市场主体地位从根本上得以确立。 全面落实“两个一以贯之”，把加强党的领导与完善公司治理统一起来。目前，已有1.3万户中央企业子企业和2.5万户地方各级国有企业子企业建立了董事会，实现了董事会应建尽建，其中外部董事占多数的比例达99.9%。国有企业党委（党组）前置研究事项清单全面完成并落地见效。 深化国企劳动、人事、分配制度改革，是提升企业活力和效率的关键环节。三年行动以来，经理层成员任期制和契约化管理在各级国有企业全面推开，覆盖全国超8万户企业共22万人。同时，加快实施公开招聘、竞争上岗、末等调整和不胜任退出等市场化用工制度，推动完善按业绩贡献决定薪酬的分配机制，中长期激励政策工具广泛应用，多种中长期激励措施惠及49.1万名骨干员工。 推进实现“干部能上能下、人员能进能出、薪酬能高能低”。中国海油在本轮三项制度改革中，二级单位的中层干部退出占比12%，全系统管理干部的岗位调整占比16%；技术类人才的比例从30%提高到50%，技能类人才比例降低到30%。“3年来我们工作量翻了一番，员工总量减了百分之十几。”中国海洋石油集团有限公司党组书记、董事长汪东进表示。 强激励、硬约束，有效调动企业上下干事创业的积极性创造性。云天化运用上市公司股权激励工具，对经营业绩和未来发展有直接影响的关键核心员工实施限制性股票激励。“股权激励实现两次解锁行权，提振了核心员工信心，为持续提升经营业绩提供了动力保障。”云天化集团党委书记、董事长张文学表示, 2022年前三季度，云天化集团实现利润总额73亿多元，同比增长1倍多。 南方电网深圳供电局积极探索推行全员新型生产经营责任制，实现员工个人价值与企业效率效益双提升。“我们将专业垂直管理、分别作业模式，调整为‘以网格为基础进行全业务综合作业’，作业效率提升35%。”深圳龙岗供电局宝龙片区负责人王新雨说。 布局结构持续优化 优化布局结构是三年行动广受关注的重头戏。国资国企认真贯彻落实《关于新时代推进国有经济布局优化和结构调整的意见》，坚持问题导向，调整存量结构，优化增量投向，更好把国有企业做强做优做大。 重组整合，亮点纷呈。三年行动以来，共有4组7家央企实施战略性重组，新组建和接收8家央企，推动实施30多个央企专业化整合重点项目。2022年12月，中国宝武与中钢集团启动战略重组。两家企业战略契合、优势互补，实施重组有利于优化我国钢铁工业布局、提升钢铁产业现代化水平。中国宝武党委书记、董事长陈德荣表示，两家企业重组后，将加快培育中钢集团一批产业细分领域的“专精特新”和单项冠军企业。 结构调整，有进有退。2020年以来，央企战略性新兴产业年均投资增速超过20%，营业收入占比达35%以上，发展新动能更加充沛。同时，加快处置不具备优势的非主营业务和低效无效资产，全面完成“僵尸企业”处置和特困企业治理，建立压减长效机制，瘦身健体让企业更具市场竞争力。 按照中央部署，国有经济的布局应主要集中在战略安全、产业引领、国计民生、公共服务等领域。目前，中央企业涉及国家安全、国民经济命脉和国计民生领域营业收入占总体比重超70%。 专家认为，通过实施三年行动，推动一批指向鲜明、影响力大的企业进行战略性重组和专业化整合，积极向战略性新兴产业布局，国有经济布局优化和结构调整持续推进，有力推动了资源向优势企业和主业企业集中，在解决同质化竞争、重复建设问题方面取得了新进展，切实增强了国有企业的市场竞争力和国际影响力。（记者 周雷）"
将实施新一轮国企改革深化提升行动.docx,,,,,2023-02-23,,,央视网字号：默认,,将实施新一轮国企改革深化提升行动 2023-02-23 21:25 来源： 央视网字号：默认 大 超大|打印| 今天（2月23日），国新办举行“权威部门话开局”系列主题新闻发布会，国务院国资委相关负责人表示，10年来，国有经济优化和结构调整不断加快，今年将深入实施新一轮国企改革深化提升行动。 数据显示，党的十八大以来，央企控股上市公司从368家增加到453家，央企质量效益全面提升，利润总额更是翻了一番。 国资委相关负责人表示，今年将进一步实施新一轮的国企改革深化提升行动，加快优化国有经济布局结构，增强服务国家战略的功能作用。同时，加快完善中国特色国有企业现代公司治理，真正按市场化机制运营。进一步加快健全有利于国有企业科技创新的体制机制，打造创新型国有企业。着力解决制约企业科技创新的机制、投入、人才、转化等突出问题，健全激励约束机制，完善人才培养体系，进一步强化企业创新主体地位，真正履行好科技创新的国家队作用。
广西国企改革三年行动提升发展质量效益.docx,,,,,2021-12-11,,,广西日报字号：,,广西国企改革三年行动提升发展质量效益 2021-12-11 12:18 来源： 广西日报字号： 默认 大 超大|打印| 12月10日，记者从自治区国资委获悉，我区深入实施国企改革三年行动，有效解决了一批长期想解决而没有解决的问题，各项主要指标节节攀升，有力提升了企业发展质量效益。 企业综合实力不断增强。全区国资委系统国有企业资产总额4.49万亿元，其中自治区国资委监管的国有企业资产总额2.1万亿元；广投集团世界500强排位提升51位，位列第439位；柳钢集团前9月净利润同比增量在全国国资委系统12112家企业（含央企）中排第38位。 主要指标创历史同期新高。根据国务院国资委9月末数据显示，自治区国资委监管的国有企业资产总额、所有者权益增速在全国省级国有企业均排第1位。今年前11个月，全区国资委系统国有企业实现营业收入8015亿元、利润总额268亿元，同比分别增长12.9%和44%；其中自治区国资委监管的国有企业实现营业收入6593亿元、利润总额230亿元，同比分别增长10%和50.2%。柳钢集团、广投集团、交投集团、北投集团利润总额分别比上年同期增加47.8亿元、12.65亿元、12.48亿元、4.17亿元，企业经济效益创历史同期新高。 项目投资大幅增长。今年前11个月，全区国资委系统国有企业固定资产投资同比增长24.3%，其中自治区国资委监管的国有企业固定资产投资同比增长56.6%，北投集团、交投集团累计完成固定资产投资分别达到593.36亿元、569.75亿元。 上交税收同步增长。今年前10个月，全区国资委系统国有企业上交税收244.1亿元，同比增长35.57%；其中自治区国资委监管的国有企业上交税收182.7亿元，同比增长44.06%。（记者 吴家跃）
广西国企改革推动国有企业经济效益创新高.docx,,,,,2021-12-09,,,新华社字号：默认,,广西国企改革推动国有企业经济效益创新高 2021-12-09 17:52 来源： 新华社字号：默认 大 超大|打印| 新华社南宁12月9日电（记者 陈露缘）记者9日从广西实施国企改革三年行动情况新闻发布会上获悉，截至11月30日，广西国企改革三年行动191项改革任务已完成131项。今年1月至11月，广西国资委系统国有企业实现营业收入8015亿元、利润总额268亿元，同比分别增长12.9%、44%。 据广西壮族自治区国资委主任李杰云介绍，广西国企改革三年行动深入实施，有效增强了国有企业综合实力。截至10月底，广西国资委系统国有企业资产总额达4.49万亿元。今年1月至11月，广西柳州钢铁集团、广西投资集团、广西交通投资集团、广西北部湾投资集团利润总额分别比去年同期增加47.8亿元、12.65亿元、12.48亿元、4.17亿元，企业经济效益创历史同期新高。 今年以来，广西国有资本布局结构进一步优化，配置效能整体提升，今年区直企业计划总投资2698.42亿元，主业投资比重达97.88%。同时，企业重组整合有序实施。 据介绍，广西加大对国有企业科技创新支持力度，自治区国资委对承担核心技术攻关项目团队的工资总额列入其他工资管理，将研发费用全额视同业绩利润，企业核心技术攻关研发投入加倍视同业绩利润。今年1月至10月，自治区国资委监管企业累计实现新产品产值205.9亿元，同比增长35.1%；科技研发投入达64.16亿元，同比增长44.1%。
张国清在山东调研时强调：全力确保安全生产形势稳定向好 扎实推进国企改革深化提升行动.docx,,,,,2024-01-15,,,新华社字号：默认,,张国清在山东调研时强调：全力确保安全生产形势稳定向好 扎实推进国企改革深化提升行动 2024-01-15 20:30 来源： 新华社字号：默认 大 超大|打印| 张国清在山东调研时强调 全力确保安全生产形势稳定向好 扎实推进国企改革深化提升行动 新华社济南1月15日电 中共中央政治局委员、国务院副总理张国清近日在山东调研安全生产、国企改革、市场监管等有关工作。他强调，要深入贯彻习近平总书记重要指示精神和中央经济工作会议部署，落实李强总理要求，坚持把高质量发展作为新时代的硬道理，坚持统筹高质量发展和高水平安全，有力有序推进国企改革深化提升行动，从严从实加强安全生产、食品药品安全监管，为巩固和增强经济回升向好态势、推进中国式现代化提供有力支撑。 13日至15日，张国清在济南市和烟台市，先后来到浪潮集团、济南二机床集团、中石化济南分公司、万华化学集团和中集来福士海洋工程有限公司等企业，走进制造车间、生产指挥控制中心和大型设备装置运行现场，详细了解企业改革发展和生产经营情况，现场检查安全生产工作。他指出，国有企业要聚焦高质量发展首要任务，紧紧围绕增强核心功能、提升核心竞争力，加快推动国企改革深化提升行动各项任务落实落地，健全中国特色国有企业现代公司治理和市场化经营机制，更大激发企业发展动力活力，做强做优主业。要完善考核评价体系，推动国有企业强化科技创新、优化布局结构，更好服务于高水平科技自立自强、确保产业链供应链稳定畅通、保障能源资源安全等国家战略。要牢固树立安全发展理念，不断提升本质安全水平，把安全责任措施落实到具体场景、具体岗位、具体人员，夯实企业安全发展基础。 张国清还来到基层消防救援站、食品药品检验检测中心，调研基层应急救援和市场监管能力建设情况。他强调，防风险、保安全重在基层基础、社会末梢，重在专业能力、严格监管。各地各相关部门要坚持眼睛向下、重心下移，加强基层一线业务培训和支持保障，切实提升基层监管能力。要全面落实“四个最严”要求，严格食品药品安全监管，确保人民群众“舌尖上的安全”。要着力提高安全监管规范化专业化水平，深查彻改风险隐患，加强应急值班值守，科学快速处置突发险情，坚决防范遏制重特大事故发生，全力确保安全生产形势稳定向好。
提前完成阶段目标任务 内蒙古国企改革三年行动正稳步推进.docx,,,,,2021-12-16,,,新华社字号：默认,,提前完成阶段目标任务 内蒙古国企改革三年行动正稳步推进 2021-12-16 19:03 来源： 新华社字号：默认 大 超大|打印| 新华社呼和浩特12月16日电（记者 朱文哲）记者16日从内蒙古自治区人民政府国有资产监督管理委员会获悉，截至今年11月末，内蒙古国企改革三年行动涉及的80项具体改革任务，已完成56项，完成率为70%，提前完成国家要求年底前完成70%的工作目标。 内蒙古国资委副主任王晓燕表示，自2020年内蒙古国有企业开始深入实施国企改革三年行动以来，相关企业整体盈利的基础持续巩固，市场化经营的活力和动力显著提升，国有资本布局结构不断优化，国资监管效能得到有效提升，一批具有内蒙古特色的改革标志性成果正在形成。 今年前10个月，内蒙古国资委直接监管企业和委托监管企业资产总额达8857.2亿元，完成营业收入2267.3亿元，上缴税费100.6亿元，三项指标相比同期分别增长3.9%、27.3%和26.4%，均创历史同期最好水平。 “下一步，内蒙古国资国企系统将继续抓牢抓实国企改革三年行动这个‘总抓手’，以改革和创新推动企业发展，为打造具有竞争实力的一流国企打好坚实基础。”王晓燕说。
