文件名,索引号,主题分类,发文机关,成文日期,发布日期,发文字号,标题,来源,公文种类,内容
器官捐献与移植“中国经验”获国际器官移植权威机构专家盛赞.docx,,,,,2019-12-09,,,新华社,,器官捐献与移植“中国经验”获国际器官移植权威机构专家盛赞 2019-12-09 07:17 来源： 新华社 字号：默认 大 超大|打印| 新华社昆明12月8日电（记者刘奕湛、林碧锋、刘昕宇）第四届中国-国际器官捐献大会暨“一带一路”器官捐献国际合作发展论坛6日至8日在云南昆明成功举办，来自世界卫生组织、国际移植协会、各大洲移植协会和62个国家移植协会的代表共1000余人参加会议。论坛期间召开了中国器官捐献与移植发展研讨会，与会中外专家围绕中国器官捐献与移植发展进行了深入的研讨交流，肯定了中国成就和经验。 在论坛会议中，与会代表就器官捐献与移植政策法规、组织建设、宣传动员、器官分配、移植技术等有关问题开展广泛深入的国际交流和探讨，加强国际合作。会上还成立了“一带一路”国家器官捐献与移植发展合作联盟，推进“一带一路”沿线国家间器官捐献与移植务实合作。全体与会代表遵循“共商、共建、共享”原则，按照今年4月25-27日在中国北京召开的第二届“一带一路”国际合作高峰论坛的精神，积极推进“一带一路”沿线国家之间人文与卫生健康领域的器官捐献与移植事业的国际交流合作，共同发表《“一带一路”器官捐献与移植国际合作发展昆明共识》。 据介绍，目前国际上已开展的器官移植我国均已开展，自体肝移植技术、无缺血器官移植技术、儿童肝脏移植技术等部分器官移植技术实现突破、国际领跑。2015年以来，中国公民自愿捐献成为器官移植来源的唯一合法途径。 据了解，国家卫生健康委员会依托红十字会进行广泛的社会宣传动员，创新捐献动员举措，鼓励公众积极参与，目前登记器官捐献志愿者近170万。 7日发布的《中国器官移植报告（2015-2018）》显示，从2015年到2018年，我国每年完成器官捐献分别为2766、4080、5146、6302例，增长迅速。2018年，我国器官捐献与移植数量稳居世界第二位。 报告还指出，自2016年5月印发《关于建立人体捐献器官转运绿色通道的通知》以来，器官全国共享率总体上升7.3%，器官利用率提升6.7%。 中国人体器官捐献与移植委员会主任委员、中国器官移植发展基金会理事长黄洁夫说，目前，中国已走出一条体现国际惯例、符合中国实际的器官捐献与移植道路，初步建立起科学公正、遵循伦理、符合国情和文化的人体器官捐献与移植工作体系。 黄洁夫说，中国对从事器官移植的医院及医生实行严格的资质管理，目前共有173家医院获得移植资质。器官移植不仅是医学技术问题，更涉及政治、法治、伦理等深层次问题。器官移植能得到好的发展的国家，一定是一个文明、法治、开放、自信的国家。 “2007年颁布《人体器官移植条例》，明确要求公平公正公开的器官分配，这是一个基本的原则，而患者排序只根据医疗需要。”中国人体器官分配与共享计算机系统负责人王海波说，通过中国人体器官分配与共享计算机系统，将患者病情紧急程度和器官匹配程度等医学指标作为分配器官资源的唯一准则，保障器官分配科学透明公平公正，这正是国家器官分配政策的技术实现。 “器官移植中国经验的最大特点是中国政府的强力支持，这是许多国家应该参照的典范。”世界卫生组织器官移植特别工作委员会主席弗朗西斯·德尔莫尼克表示，中国在特别工作委员会中发挥着举足轻重的作用，这也体现了国际社会对中国器官移植事业巨大进步的认可。 澳大利亚格里菲斯大学教授坎贝尔·弗雷泽表示，中国在器官移植领域正在取得长足的进步，并在解决困扰全球器官移植领域的难题方面扮演领导角色。 “我过去六七年一直在关注中国器官捐献和移植事业的发展，中国的器官捐献和移植事业体现透明和公平原则。”世界卫生组织代表何塞·努涅斯认为，这就是世卫组织力图在全球推广的模式，中国的器官捐献和移植工作可以成为其他国家的榜样。
器官捐献和移植法规公布 “法轮功”的弥天谎言应休矣.docx,,,,,2024-01-16,,,,,器官捐献和移植法规公布 “法轮功”的弥天谎言应休矣 来源: 中国反邪教网 更新于: 2024-01-16 11:34:25 2023年12月4日，国务院总理李强签署第767号国务院令，公布《人体器官捐献和移植条例》，自2024年5月1日起施行。2007年，我国首次颁布了器官移植相关法规——《人体器官移植条例》。时隔16年，《人体器官捐献和移植条例》的公布，其中一个很明显的变化是，加上“捐献”二字，凸显器官捐献的重要性，意义非凡，这体现了我国在器官移植上的进步与发展。 人体器官捐献和移植是人间大爱善行，器官捐献是挽救垂危生命、弘扬人间大爱的高尚事业，关系人民群众生命健康，关系生命伦理和社会公平，是国家医学发展和社会文明进步的重要标志。《人体器官捐献和移植条例》的公布，明确了器官捐献和移植工作要坚持“人民至上、生命至上”的原则，全面完善了器官捐献和移植制度，标志着我国器官捐献和移植事业迈上了新台阶，进入了新的发展阶段。 众所周知，2006年3月，“法轮功”邪教组织的所谓媒体抛出“活摘”谣言，声称位于中国辽宁省沈阳市苏家屯区的辽宁省血栓病中西结合医疗中心有一个“集中营”，里面关押着6000多名“法轮功”人员并被“割去身体器官扔进焚尸炉”。经国际社会多方实地调查，“法轮功”捏造的谣言很快被戳穿。 虽然“活摘”谣言在第一时间就被证实纯属捏造，但还是被别有用心的人利用和传播。大卫·乔高和大卫·麦塔斯就是“法轮功”邪教组织收买的为“活摘”谣言圆谎的加拿大人，两人曾合伙抛出一份所谓“调查报告”。 ▲大卫·乔高（左）和大卫·麦塔斯（右） 2016年6月美国人伊森·葛特曼还发表所谓《大屠杀——血腥的摘取》报告，妄称“中国每年有6万至10万例器官移植”。 对此，世界卫生组织主管器官移植的官员何塞·努涅斯在北京出席第一届中国－国际器官捐献大会时表示：“如果说中国做了那么多例器官移植，那其他国家就没有了，因为全世界的数量就那么多。而且要满足中国的需求，需要大量相关药物，但其实中国使用相应药物的比例只占全球总数的6%-8%。” ▲何塞·努涅斯 美国哈佛大学医学院弗朗西斯·德尔莫尼科教授在接受媒体采访时质问：“我曾出席过美国国会针对中国器官移植的听证会，有关议题充斥着政治争论，我觉得应该去问问那些散布谣言的人，是如何算出6万至10万这个数字的？证据何在？” 澳大利亚格里菲斯大学知名器官移植问题专家坎贝尔·弗雷泽（Campbell Fraser）博士，在接受《环球时报》记者采访时说：“我曾多次来到中国进行实地考察，我可以用我的个人名誉担保，‘法轮功’所说的都是谎言。” ▲坎贝尔·弗雷泽 美国《华盛顿邮报》报道称，如果每年有数十万名“法轮功”修炼者被执行死刑，这种信息肯定会被泄露出来。事实上，从2006年开始炒作所谓“活摘”话题起，“法轮功”及其代理人从未向公众提供任何一例有关“法轮功”人员的器官遭到“活摘”的实例。 时任中国人体器官捐献与移植委员会主任黄洁夫认为，这种谣言根本站不住脚。 2023年12月9日，在广西南宁召开的第七届中国-国际器官捐献大会暨“一带一路”器官捐献与移植国际合作发展论坛上，国际权威专家们共同驳斥“法轮功”的荒唐说法，使其谣言原形毕露，无处躲藏。 事实上，对“法轮功”邪教组织通过纪录片、发表报告和其他形式散布诸如中国移植器官大部分来源于“法轮功”学员、中国存在“活摘器官”等骇人听闻的谣言，国内外器官移植专业人士都认为这些谣言荒谬到“不值一驳”。 自2016年起，连续七年，中国年度遗体器官捐献和器官移植数量均位居世界第二，亚洲第一。截至目前已累计完成捐献4.9万余例，捐献器官15万余个，累计志愿登记人数超过655万人。 这一有力事实，给了造谣者一记响亮的耳光。 皓皓之白、身之察察。中国政府坚定不移地推动公民逝世后自愿捐献器官，使用符合伦理学原则的器官，保障器官捐献者和接受者的权利。此举体现了中国对人权和法治的尊重，赢得了国际社会的广泛赞誉。 原世卫组织总干事陈冯富珍高度赞扬中国在器官捐献与移植领域的进展，她表示中国的改革方向正确，行动迅速，许多成功经验可以作为样板，供面对类似挑战的其他国家学习借鉴。 研究全球器官贩卖的澳大利亚专家坎贝尔·弗雷泽称赞道：“中国近年来移植事业的历史性进步为全世界所瞩目。” 德国移植协会前任主席比约恩·纳山在中国工作多年，见证和参与了中国器官移植制度的改革，他表示，近年来中国器官移植技术不断创新发展，已达到世界先进水平。在未来五到十年当中，他相信中国在器官捐献和移植当中的发展会进一步加速，届时中国将成为世界上最大的器官捐献和移植的国家。 ▲比约恩·纳山 在2017年度国别人权报告中，美国国务院也不得不承认中国器官移植事业改革发展取得的成绩。 2018年3月，联合国与梵蒂冈教皇科学院共同发布了《梵蒂冈教皇科学院践行伦理道德会议宣言》。《宣言》在第四部分，用整章介绍了监管人体器官捐献与移植的“中国模式”，并认为中国取得的成果“标志着一个‘器官捐献与移植的新时代’已经诞生”。 无可置疑，不可否认，中国器官捐献与移植改革取得的累累硕果，已赢得国际社会的广泛认同，“法轮功”邪教组织炮制的谣言正在被越来越多的人识破和唾弃。 此次《人体器官捐献和移植条例》的公布，在强化法治保障，建立全流程追溯和监管机制，加强器官捐献工作体系建设，强化器官获取的伦理审查，依法打击查处涉器官违法犯罪行为，更好保障器官捐献和移植事业健康发展，必将发挥重要作用。 “法轮功”围绕我国器官移植的污名化和各种攻击该休亦！
国家卫健委：绿色通道使得我国人体捐献器官转运时间平均缩短1-1.5小时.docx,,,,,2019-11-26,,,新华社,,国家卫健委：绿色通道使得我国人体捐献器官转运时间平均缩短1-1.5小时 2019-11-26 15:45 来源： 新华社 字号：默认 大 超大|打印| 新华社上海11月26日电（记者王秉阳、仇逸）在国家卫健委26日于上海召开的新闻发布会上，国家卫健委医政医管局监察专员郭燕红表示，我国开通人体捐献器官转运绿色通道3年以来，器官转运时间平均缩短1-1.5小时。 据她介绍，受制于现在的医学技术，可移植器官均有可以耐受的最大缺血时间，例如肝脏耐受冷缺血时间上限为12小时。即使在可耐受的时间内，缺血时间越长，器官的质量及器官接受者的预后越差。 “所以器官转运是一场生命与时间的赛跑。”郭燕红表示，受限于国土面积、社会经济发展水平，同时为降低患者器官移植总花费，我国大多采用由医务人员携带，通过民航班机、高速铁路及公路运输的形式转运捐献器官。转运过程中面临较多不确定因素，转运时间较长，对器官质量造成不利影响，因转运问题导致的器官浪费也时有发生。 为缩短人体捐献器官转运时间，减少因转运环节对器官移植质量安全影响，保障患者生命健康，在2016年原国家卫计委等6部门共同印发了《关于建立人体捐献器官转运绿色通道的通知》，建立了以民航、高铁为核心的低成本、高效率的人体捐献器官转运绿色通道工作机制。 “以前从虹桥机场转高铁需要滞留三四十分钟的时间，这是最短的了。但是现在最快六到七分钟，就可以从飞机下来直接上高铁。”在发布会上，无锡市人民医院副院长、中日友好医院胸外科主任陈静瑜向记者们讲述了在虹桥转运的变化，仅此一个环节就可以节省约半小时时间。 郭燕红介绍，据统计绿色通道建立3年以来，器官转运时间平均缩短1-1.5小时，全国器官全国共享率总体上升 7.3%，器官利用率提升6.7%，捐献器官共享半径大大扩展，数以千计的终末期器官衰竭患者得到救治机会。 此外，郭燕红介绍，近年来我国器官捐献和移植数量大幅提升，2018年完成器官捐献为6302例，实施器官移植手术量突破2万例，捐献数量和手术量均居世界第二位，器官移植技术能力水平和器官移植质量也不断提升。
图表：我国公民器官捐献志愿登记人数超过60万.docx,,,,,2018-09-21,,,新华社字号：默认,,图表：我国公民器官捐献志愿登记人数超过60万 2018-09-21 20:53 来源： 新华社字号：默认 大 超大|打印| 图表：我国公民器官捐献志愿登记人数超过60万 新华社发 李栋 制图
多名患者获新生 重庆实施器官捐献1050例.docx,,,,,,,,重庆日报,,多名患者获新生 重庆实施器官捐献1050例 2023年09月15日 07:59　来源： 重庆日报 9月13日，“生命之约·大爱传递”人体器官捐献宣传季活动在解放碑举行。截至当日，我市器官捐献志愿登记15万余人，累计捐献1050例，帮助3000余名器官衰竭患者重获新生。 该活动由中国人体器官捐献管理中心、重庆市遗体器官捐献管理中心主办，渝中区红十字会承办。 活动现场，志愿者们带来了一场“生命之约·大爱传递”器官捐献主题快闪舞蹈，吸引了不少市民驻足观看。 全国首届器官捐献优秀协调员、重庆市器官捐献协调员米智慧也热情地向市民宣传器官捐献。“11年，截至今天，我已经参与了590例器官捐献。最初沟通协调20例，能成功一例就很不错了。到现在，经常会有人主动找我，甚至有的捐献者家属还充当起义务宣传员。”提及11年变化，米智慧非常欣慰，她真切感受到，人体器官捐献理念得到了越来越多人的了解和支持。 据了解，重庆市人体器官捐献2017年首次全年突破捐献100例，2018年5月9日成功实施首例涉外捐献，2019年突破捐献500例，2023年突破捐献1000例。 “近3年，我市6家移植中心新增等待肝脏移植受者超过1200名，等待肾脏移植受者超过3000名，等待过程中患者死亡超过50%”，重庆市遗体器官捐献管理中心负责人告诉记者，这一数据尚不包括因为各种原因未能进行移植登记的庞大终末期器官衰竭患者人群，器官捐献任重而道远。（首席记者 张莎）
崔云甫委员：多措并举 推进黑龙江省器官捐献事业发展.docx,,,,,,,,,,崔云甫委员：多措并举 推进黑龙江省器官捐献事业发展 字体： 小 中 大 分享到： 新华网哈尔滨1月25日电 随着医学技术的不断发展，器官移植已经成为治疗某些严重疾病的有效手段，但器官短缺问题一直困扰着器官移植的开展。在2024年黑龙江省两会上，黑龙江省政协委员、哈医大二院普通外科主任崔云甫呼吁推进黑龙江公民去世后器官捐献事业发展，提高公民对器官捐献的认知和参与度，为更多需要帮助的病人带来生的希望。 崔云甫说，提倡公民在生前表达器官捐献意愿，并在去世后捐献器官，对于解决器官短缺、挽救病人生命具有重要意义。 他建议，通过各种渠道加强宣传教育，提高公众对器官捐献的认知和接受度。可以制作宣传资料、开展主题活动、组织专家讲座等方式进行宣传教育。建立激励机制，为捐献者家属颁发荣誉证书，表彰凡人善举。有条件的城市可以为捐献者提供规范墓地，并表彰其事迹。政府积极出台相关政策，建立完善的器官捐献体系，为器官捐献提供政策支持。建立器官捐献登记注册制度，鼓励人们在生前自愿登记成为器官捐赠者，政府和社会组织加强对登记注册流程的宣传和推广。加强对器官捐献相关伦理、法律和社会问题的研究，为器官捐献的推进提供理论支持。鼓励社会组织和个人积极参与器官捐献的宣传和推广工作，形成社会共识和良好氛围。政府加强对器官捐献的监管，制定严格的法律法规和规章制度，确保整个捐献过程的规范化和专业化。同时，加强对相关医疗机构和组织的监督和评估，确保合法合规开展工作。 崔云甫表示，推进黑龙江省器官捐献事业是一项艰巨而紧迫的任务，也是一项具有重要意义的社会公益事业。希望通过有力推动，能够挽救更多病人的生命，助力健康龙江、健康中国发展。 文字：才萌 摄影：才萌 【责任编辑:董云竹 郭梁越】
广东器官捐献数连续七年全国第一.docx,,,,,2017-06-11,,,南方日报,,广东器官捐献数连续七年全国第一 2017-06-11 08:50 来源： 南方日报 字号： 默认 大 超大|打印| 6月11日是首个“中国器官捐献日”，9日，笔者从广州医科大学附属第二医院举办的宣传活动上获悉，2016年广东共完成器官捐献513例，已经连续七年位居全国第一，其中广医二院去年完成83例器官捐献，器官移植例数有261例。 广东省红十字会器官捐献办主任李劲东介绍，2016年，我国公民逝后自愿器官捐赠达到4080例，捐献数量跃居亚洲第一，PMP（每百万人口的实际器官捐献率）由6年前的0.03上升到2.98。其中，广东捐献量约占全国12.6%，PMP达4.93。 “今年广东的器官捐献量有望追平香港。”李劲东说，目前香港的PMP为5.5，而今年广东捐献量有望突破600例，PMP将达到6，成为粤港澳大湾区的首位。 在这些捐献者中，约1/5是未成年人，男性占79%，女性21%。约60%的捐献者是因车祸脑外伤而逝世，脑血管意外占35%，5%是其他情况，夏天以溺水死亡为主，冬季以煤气中毒死亡为主。 “这些捐献案例中，没有1例是生前曾登记过器官捐献的捐献者。”李劲东说，2014年中国公民逝世后器官捐献登记网站开通，18岁以上公民可登录网站填表捐献，如今还开通了微信捐献的通道，关注“中国人体器官捐献”公众号，即可方便快速完成器官捐献登记。 据中国人体器官捐献管理中心数据显示，截至2017年6月8日，我国至今进行登记捐献的志愿者仅26万人，相对我国的总人口，有着很大的缺口。“现在每年约30万人因末期器官功能衰竭需要移植的病人中，仅1万多人有机会获得器官移植。”李劲东说。 李劲东介绍，目前广东省有18家具有器官移植资质的医院，其中广州14家，以中山一院和广医二院获取的器官最多。去年在广医二院完成83例器官捐献，器官移植例数达到了261例，手术成功率100%，五年存活率达82%。（记者/李秀婷 通讯员/许咏怡）
广东器官捐献数量连续13年居全国第一.docx,,,,,,,,,,广东器官捐献数量连续13年居全国第一 字体： 小 中 大 分享到： 近日，“2023广东省器官捐献与移植大会暨广东省医学会第十九次器官移植学学术会议”在广州召开。来自全国的器官移植“大咖”就刚刚颁布实施的《人体器官捐献与移植条例》进行了热议。 大会现场。主办方供图 大会主席、广东省医学会器官移植分会主任委员何晓顺表示，广东省目前已建立了比较成熟、规范的器官捐献与移植技术体系，形成了当前7家OPO（器官获取组织）和21家移植医院的局面。以中山大学附属第一医院（简称“中山一院”）为代表，为我国器官捐献与移植技术体系的成熟与发展做出了重要贡献，涌现出了一批优秀的器官捐献协调员，发明了无缺血器官移植等创新引领技术，儿童肾移植、胰肾联合移植、心脏移植、肺脏移植以及心肺联合移植等也处于国内领先或先进水平。 中山大学常务副校长、中山一院院长肖海鹏指出，当前，中国已成为世界器官移植和捐献的第二大国，而广东省的器官捐献数量约占全国总量的1/4，连续13年居全国第一，器官捐献和移植事业获得了长足发展，备受世界瞩目。 广东省医学会会长、广东省卫生厅原厅长姚志彬表示，器官移植是医学领域前沿的学科，器官捐献和移植代表着一个国家的医疗技术发展水平。在广东，器官捐献和移植的发展与该地区经济创新能力、技术水平相得益彰。他希望广东能够向全国器官捐献与移植领域的顶级专家学习。 国家卫生健康委医疗应急司医疗监督处处长高新强坦言，尽管我国器官捐献工作取得显著成效，但是捐献率与需求量仍有一定差距。下一步，国家卫健委将继续推动我国人体器官捐献与移植事业的高质量发展，希望未来器官移植技术为人民群众健康带来更多的福祉。 浙江大学医学院附属第二医院院长、肝胆胰外科学科带头人、器官移植中心主任王伟林说，“因为供体严重不足，我国平均40位肝移植病人，才只有一位能获得移植的机会。” “虽然中国器官移植与捐献工作取得了很大的成绩，但是仍有许多不足之处，器官捐献率较国际先进水平仍有较大差距。”中国器官捐献和移植委员会主任委员、原卫生部副部长黄洁夫指出，器官捐献改革是一次 “刮骨疗毒，壮士断腕”的重大改革。截至目前，我国已完成了公民逝世后器官捐献4.9万余例，捐献大器官超过15万个。目前中国器官捐献在数量上已处于世界第二位、亚洲首位，造福了众多器官功能衰竭患者。 大会颁发器官移植终身成就奖。主办方供图 据悉，本次会议是在国家卫生健康委员会医疗应急司、中国器官移植发展基金会、广东省卫生健康委员会、广东省红十字会等单位的指导下，由广东省医学会、广东省器官医学与技术学会主办，广东省医学会器官移植学分会、广东省器官捐献与移植质量控制中心承办。（记者 林洁 通讯员 郑英姿） 【责任编辑:李庆招】
广西累计遗体和人体器官捐献近4000例.docx,,,,,,,红十字“三献”宣传活动在河池学院举行,,,广西累计遗体和人体器官捐献近4000例 字体： 小 中 大 分享到： 原标题：红十字“三献”宣传活动在河池学院举行 我区累计遗体和人体器官捐献近4000例 10月20日，由中国人体器官捐献管理中心、广西壮族自治区红十字会、河池学院主办的“生命之约·大爱传递”——2023年广西人体器官捐献志愿登记宣传季暨红十字“三献（无偿献血、献造血干细胞、献人体器官）”宣传活动在河池市举行，500多名师生代表和各界人士参加活动。截至10月19日，全区累计遗体和人体器官（组织）捐献3953例，参与志愿登记人数16.88万。 当天，河池学院在校园内开展“生命之约·大爱传递”——人体器官捐献志愿登记宣传活动，向师生宣传“三献”知识，指导同学们进行人体器官捐献志愿登记，并组织开展集中无偿献血活动。当天共有117名爱心人士参与无偿献血，献血量2.86万毫升，5名爱心人士留取血样加入中华骨髓库。 据统计，今年河池市已完成无偿献血1.8292万人次，造血干细胞志愿者留样209份，完成造血干细胞捐款2例、器官捐献5例。（记者/吕欣 通讯员/陆镜伊） 【责任编辑:蒋颖】
广西首个“施予受”器官捐献志愿者登记平台上线.docx,,,,,2019-11-24,,,广西日报,,"广西首个“施予受”器官捐献志愿者登记平台上线 2019-11-24 08:31 来源： 广西日报 字号： 默认 大 超大|打印| 我区首个“施予受”器官捐献志愿者登记平台上线
让逝去的生命延续
全区共完成遗体、器官、组织捐献1618例，器官捐献例数位居全国前列 “仿佛获得新生，感谢捐献者的大爱！”11月23日，在广西医科大学第二附属医院“施予受”器官捐献志愿者登记平台启用现场，吴先生脸上充满阳光。半个月前，这名患尿毒症的中年男子在该院顺利完成肾移植手术，逐渐摆脱病痛折磨。随着该平台在广西正式启用，更多患者将因此受益。 器官移植被称为“外科手术宝塔尖上的明珠”，可为终末期器官功能衰竭患者带来重生希望。“自2015年开始，公民自愿捐献成为我国器官移植唯一合法来源，建立了合理有效的人道主义救助模式，让生命在阳光下延续，彰显大国文化自信。”在当天的启动仪式和第四届广西移植-ICU“面对面”研讨会上，中国器官移植发展基金会理事长黄洁夫表示。 2014年，中国首个网上器官捐献志愿者登记系统——“施予受”器官捐献志愿者登记平台正式上线，目前通过该平台登记的器官捐献志愿者人数已超过100万。尽管如此，仍存在公民缺乏自愿捐献的意识、器官严重供不应求，拥有器官移植资质的医院较少、服务能力有限等问题。医院是当前器官移植工作的主要战场，人体器官捐献信息的产生和汇集区。黄洁夫呼吁，广大医务人员应率先垂范，成为器官捐献志愿者。 连日来，医科大二附院已有35名医务人员通过“施予受”平台加入志愿者行列。“我们要壮大器官捐献与移植人才队伍，全力推进器官移植中心建设，充分利用好、发挥好登记平台的信息枢纽和通道作用，做好器官捐献宣传工作。”院长罗杰峰表示，医院有信心为广西乃至全国有需求的患者提供更优质的医疗服务。 “像吴先生一样通过由器官移植，生命得以重启的人，今后将会越来越多。”该院器官移植科主任孙煦勇说。“施予受”平台启动上线，将更利于系统梳理、登记器官捐献者的信息，实现信息互通与共享。据介绍，器官移植是广西在全国排名进入前十的为数不多的医学学科之一。今年10月，广西医科大学第二附属医院一次同时获得肝脏、肾脏、心脏、肺脏、胰腺5个诊疗科目的移植执业资质，并在短时间内顺利完成多例器官移植，专科建设实现了新的跨越。 据统计，广西已有2万多人在线登记成为“施予受”平台器官捐献志愿者，另有接近1.6万人通过中国人体器官捐献管理中心志愿登记系统成为人体器官捐献志愿者。截至11月20日，全区共完成遗体、器官、组织捐献1618例，器官捐献例数位居全国前列，拯救了4000多名患者的宝贵生命，使上千名患者重见光明。 “广西百姓心怀大爱，器官捐献有良好的群众基础。希望更多广西医院加入进来，不断创新发展，在国内甚至国际上的器官移植领域发出广西声音。”黄洁夫说。（记者 梁莹）"
广西：器官捐献广受社会认可.docx,,,,,,,,,,广西：器官捐献广受社会认可 字体： 小 中 大 分享到： 原标题 广西：器官捐献广受社会认可 12月8日，记者从自治区卫健委获悉，我区以全方位全周期维护人民健康为目标，以弘扬大爱精神为旗帜，在自治区党委、政府的领导下，医务工作者和红十字协调员等社会各界共同努力，以保护人的生命和健康为宗旨，促进广西器官捐献体制机制更趋完善，“自愿无偿、高尚利他”的理念在社会广泛传播。 2011年7月，广西作为全国第二批公民逝世后人体器官捐献工作试点，正式开展人体器官捐献工作。12年来，社会对人体器官捐献的认识与认知发生了深刻变化，人体器官捐献与移植事业从无到有，直至2022年服务范围百万人口捐献率（PMP）总体超15%，居于全国前列。 2011年，广西产生14例捐献者；到2023年11月，广西人体器官捐献数突破3400例。两度勇救落水儿童的好人陈德昌因脑出血意外去世，捐献了一个肝脏两个肾脏。他的父亲不仅说服家人同意捐献，还同意媒体进行宣传。他百分百相信这是光明正大的好事情，要大大方方说出来。梧州市红十字会器官捐献协调员陆艳霞说：“人们的观念发生了很大的变化，甚至还有老人家来询问器官捐献的事情。”从2012年第一例，到2023年11月，梧州市器官捐献累计482例，帮助全国各地1800多名患者重见光明、重获新生。 感动中国人物“最美女孩”何玥、“千里送心”好青年叶劲、全国首例器官移植后再捐献者蒙瑞江、全国检察系统首位捐献者宾毅、“全国脱贫攻坚先进个人”捐献者张华、跨国捐献者妮卡、23岁的医学生易海欣……八桂大地涌现出了一大批器官捐献的感人故事。 同时，我区器官移植手术呈现有序增长态势，器官移植技术不断实现突破，部分达到国际领跑，器官移植的质量、移植受者的长期存活率明显提高，形成了器官移植与捐献互相促进的良性循环。 自2018年始，我区先后增加广西医科大学第二附属医院、自治区人民医院作为器官移植医院，两家医院移植量快速增加，移植能力持续提升。其中，广西医科大学第二附属医院移植医学研究所器官捐献管理中心是国内组织架构和人员结构最为完善的OPO之一，是一支成熟的学科化专业队伍。从2006年开始探索公民逝世后器官捐献，到目前为止，团队共完成近1700例器官捐献案例，2021年、2022年器官捐献案例数连续两年位于全国第一。据悉，该院器官移植学科临床规模名列全国前茅，各项评价指标进入全国第一方阵，在器官评估、维护、产出率及利用率达到了世界先进行列以及国内领先行列。自治区人民医院2019年获得肝肾移植资质后，先后开展了全国首例艾滋病儿童的肾脏移植、广西首例劈离式肝移植等，学科影响逐步增大。 12年来，广西制定了人体器官捐献见证和信息报告工作制度和红十字会“三献”回访工作流程规范管理办法，持续做好政策解读、身份甄别、签字同意、遗体告别、协助丧葬以及善后安抚等工作。设立广西生命接力基金，专项救助困难的器官捐献者家庭，推动市级红十字会开展器官捐献者子女助学项目，并将器官捐献家庭纳入红十字博爱送万家活动。人体器官捐献协调员队伍逐步规范化专业化，每年定期进行系统培训；广西红十字“三献”工作志愿宣讲团深入农村、社区、高校、企事业单位，进行广泛的社会动员，大爱无私的器官捐献精神在全区营造出了良好的氛围。截至目前，全区遗体和人体器官（组织）志愿登记人数近18万人，见证遗体和人体器官（组织）捐献案例4038例，其中器官捐献3454例，遗体捐献437例，单纯眼角膜147例。（记者/吕欣 通讯员/费沁蕊 廖灵敏） 【责任编辑:蒋颖】
我国人体器官捐献数量居世界第二.docx,,,,,2019-11-28,,,人民日报,,我国人体器官捐献数量居世界第二 2019-11-28 07:47 来源： 人民日报 字号：默认 大 超大|打印| 记者26日从国家卫健委在上海举行的新闻发布会上获悉：去年我国人体器官捐献和移植数量均居世界第二位。人体捐献器官转运绿色通道建立3年以来，器官转运时间平均缩短1至1.5小时。 国家卫生健康委医政医管局监察专员郭燕红说，2015年至2018年，我国每年完成器官捐献分别为2766、4080、5146、6302例。2018年，器官捐献数量位居世界第二位；实施器官移植手术量突破两万例，手术量同样居世界第二位。 器官移植技术能力水平不断提升。我国器官移植手术操作技术不断改进创新，部分达到世界先进水平。国际上已开展的器官移植我国均已开展，部分器官移植技术实现突破。在器官维护和获取技术能力方面，生命支持技术得到广泛应用，器官保存技术取得突破。 器官移植质量不断提升。我国器官移植术后受者生存率等指标达国际先进水平。我国活体肝脏移植术后受者1年和3年累计生存率分别为92.5%、89.8%。心脏、肾脏移植术后生存率居国际前列。2018年我国心脏移植手术术后一年生存率为90.8%，高于国际心肺移植学会的85.4%；肾脏移植的1年、3年受者生存率分别为96.7%、95.6%，居国际先进水平。 2017年开展人体捐献器官航空运输的航空公司只有13家，2018年达到16家，2019年1到9月已有22家航空公司开展了人体捐献器官航空运输活动。（记者 白剑峰）
我国人体器官捐献登记数量7年增长近百倍.docx,,,,,2017-03-31,,,新华社,,我国人体器官捐献登记数量7年增长近百倍 2017-03-31 20:34 来源： 新华社 字号：默认 大 超大|打印| 新华社上海3月31日电（记者 吴振东）记者31日从中国人体器官捐献管理中心获悉，2016年，我国登记捐献遗体和器官的志愿人数达104538人，与2010年的1087人相比，增长近100倍。 从登记区域看，全国31个省区市都有志愿登记，湖北、江苏、上海、广东等经济发达地区登记人数较多；从登记年龄看，由于志愿登记要求具有完全民事行为能力，登记者以中青年居多，约占60%以上，60岁以上老年人约占20%；从职业来看，各行各业各层次都有。 中国人体器官捐献管理中心、中国器官移植发展基金会31日在上海举行2017年全国人体器官捐献缅怀纪念暨宣传普及活动，旨在缅怀纪念平凡而高尚的人体器官捐献者，宣传普及器官捐献的理念。 我国于2010年3月启动了公民逝世后器官捐献试点工作，得到了社会各界的大力支持和公众的积极响应。中国器官移植发展基金会理事长黄洁夫表示，目前我国器官捐献工作仍处于“新生儿”阶段，各地发展不平衡，下一步还需要不断加强机构、队伍建设和建章立制工作，加强信息化建设，相关部门也会出台更多支持政策，逐步构建“阳光、公正、高效”的人体器官捐献体系。
